lambda[nm],a[m^-1],b[m^-1]
200.0,3.07,0.151
210.0,1.99,0.119
220.0,1.31,0.0995
230.0,0.927,0.0820
240.0,0.720,0.0685
250.0,0.559,0.0575
260.0,0.457,0.0485
270.0,0.373,0.0415
280.0,0.288,0.0353
290.0,0.215,0.0305
300.0,0.141,0.0262
310.0,0.105,0.0229
320.0,0.0844,0.0200
330.0,0.0678,0.0175
340.0,0.0561,0.0153
350.0,0.0463,0.0134
360.0,0.0379,0.0120
370.0,0.0300,0.0106
380.0,0.0220,0.0094
390.0,0.0191,0.0084
400.0,0.0171,0.0076
410.0,0.0162,0.0068
420.0,0.0153,0.0061
430.0,0.0144,0.0055
440.0,0.0145,0.0049
450.0,0.0145,0.0045
460.0,0.0156,0.0041
470.0,0.0156,0.0037
480.0,0.0176,0.0034
490.0,0.0196,0.0031
500.0,0.0257,0.0029
510.0,0.0357,0.0026
520.0,0.0477,0.0024
530.0,0.0507,0.0022
540.0,0.0558,0.0021
550.0,0.0638,0.0019
560.0,0.0708,0.0018
570.0,0.0799,0.0017
580.0,0.108,0.0016
590.0,0.157,0.0015
600.0,0.244,0.0014
610.0,0.289,0.0013
620.0,0.309,0.0012
630.0,0.319,0.0011
640.0,0.329,0.0010
650.0,0.349,0.0010
660.0,0.400,0.0008
670.0,0.430,0.0008
680.0,0.450,0.0007
690.0,0.500,0.0007
700.0,0.650,0.0007
710.0,0.839,0.0007
720.0,1.169,0.0006
730.0,1.799,0.0006
740.0,2.38,0.0006
750.0,2.47,0.0005
760.0,2.55,0.0005
770.0,2.51,0.0005
780.0,2.36,0.0004
790.0,2.16,0.0004
800.0,2.07,0.0004
